2017-12-23 03:25:35,b'Skiplagged is a site uses some funny booking tricks to get you places cheaply (e.g. booking iteneraries where your\xe2\x80\xa6 https://t.co/7AZhlyBWHs'
2017-12-23 03:15:04,b'#Christmas #Holiday #Travel #Safety \xe2\x80\x93 #Prepare an #Airport #Emergency Plan by viewing the videos at\xe2\x80\xa6 https://t.co/s4m2p7bPpq'
2017-12-23 03:10:01,"b""Got a nice visit from a #Boeing 777-300 earlier this evening. I love the 777. Such a beautiful airplane. Here's a f\xe2\x80\xa6 https://t.co/CvHhh3H25N"""
2017-12-23 03:08:16,b'2017-12 In flight to New Mexico.\n.\n.\n.\n.\n.\n.\n.\n.\n#toptravelspot #newmexico #sky #usa #airplane #clouds #mountains\xe2\x80\xa6 https://t.co/1zM8PmneOH'
2017-12-23 02:58:20,b'@JoeFlanagan @united @Delta \xe2\x80\x9cTracing process continues\xe2\x80\x9d while 7 flights to my destination have passed today. Merry\xe2\x80\xa6 https://t.co/FFQWzdu03j'
2017-12-23 02:37:23,b'A nice addition to the living room collection!  @united #UnitedAirlines #N182UA #UA747Farewell #MPExclusives\xe2\x80\xa6 https://t.co/6hsnHqlaPI'
2017-12-23 02:37:04,b'#unitedAIRLINES is by far the worst airline provider out there. Never experienced a company treat humans the way they do'
2017-12-23 02:03:27,"b'""Family says United Airlines lost track of 92-year-old woman"" https://t.co/bxnAACl1SI #travel #UnitedAirlines\xe2\x80\xa6 https://t.co/uJuafiehdq'"
2017-12-23 01:33:47,b'When your hour flight gets turned around because someone in first class is too drunk to fly. #smh\xe2\x80\xa6 https://t.co/J9FdhsaBZi'
2017-12-23 01:31:01,b'#UnitedAirlines Flight makes emergency landing after smoke reported on aircraft https://t.co/NTaLJ3kk3H'
2017-12-23 01:10:16,"b'""I hope no one gets hurt"" is not a thought I should have to have when I see this message. Joys of flying\xe2\x80\xa6 https://t.co/3vJAY65wwS'"
2017-12-23 00:23:09,b'This is a 4 hour local flight on Singapore Airlines - Why can we not offer this type of service in the U.S.A.\nInste\xe2\x80\xa6 https://t.co/Ikls9hhptM'
2017-12-23 00:08:10,b'RT @morrisls: #unitedairlines no responses. So typical'
2017-12-23 00:07:54,"b""RT @Seymour_love4us: #unitedAIRLINES delay..stuck in the Bahamas. Flight was suppose to leave at 240pm, it's now 7:48, been sitting on the\xe2\x80\xa6"""
2017-12-23 00:07:19,"b""RT @vickijoe1: #unitedAIRLINES  #nocustomerservice So the absolute BEST is when you're expecting your elderly mother in law to arrive on an\xe2\x80\xa6"""
2017-12-23 00:07:03,"b'RT @camstoltz: As frequently as I fly, I can honestly, genuinely say #UnitedAirlines is the worst airline\xe2\x80\x94by a large margin. Today I had an\xe2\x80\xa6'"
2017-12-23 00:06:03,"b'Washington DC to Venice, Italy for only $448 roundtrip with United #UnitedAirlines #Washington https://t.co/boWGiNCHTa'"
2017-12-23 00:06:02,b'Non-stop from New York to Las Vegas (&amp;amp; vice versa) for only $162 roundtrip with United. #UnitedAirlines\xe2\x80\xa6 https://t.co/Qgc0OaoFhh'
2017-12-23 00:01:00,"b'@united PSA @united has shown the #worst customer care. After being stranded in IAH for 24hrs, the gate manager thr\xe2\x80\xa6 https://t.co/3yx5qTI3H4'"
2017-12-22 23:57:02,b'RT @MarieAnnUK: Not enough seating? Prepare for a beating! #UnitedAirlines   https://t.co/xlRSggLQHd'
2017-12-22 23:52:54,b'#staralliance #unitedairlines #lufthansa.  What a god awful assemblage of poor policy and worse execution is the un\xe2\x80\xa6 https://t.co/aLBg3ooFv6'
2017-12-22 23:48:02,b'Denver to San Francisco (&amp;amp; vice versa) for only $78 roundtrip with United. #UnitedAirlines #Denver https://t.co/kHv7nieMN1'
2017-12-22 23:46:40,"b'@united No I still need help, your lady Maria Rivera at the counter is refusing to let my carry on baggage into the\xe2\x80\xa6 https://t.co/lhn3aHft3I'"
2017-12-22 22:21:05,"b'@united Where they\xe2\x80\x99ll reply to you tweet if you can\xe2\x80\x99t watch an in-flight movie, but ignore you when their incompete\xe2\x80\xa6 https://t.co/s3ZknzzASq'"
2017-12-22 22:15:40,b'Flying on #UnitedAirlines ready to get the shit beat out of me \xf0\x9f\x98\x8d\nMy ticket was $666 https://t.co/gfeGdasSTv'
2017-12-22 22:03:13,"b'As frequently as I fly, I can honestly, genuinely say #UnitedAirlines is the worst airline\xe2\x80\x94by a large margin. Today\xe2\x80\xa6 https://t.co/1iAWA3KDVs'"
2017-12-22 22:02:37,"b'If you want ever want your plans ruined, or if you\xe2\x80\x99re itching to eat breakfast, lunch, and dinner at an airport, bo\xe2\x80\xa6 https://t.co/QfvlsSp1nY'"
2017-12-22 21:47:11,b'6 hour premium flight from SF to Newark in an economy plus seat. Thanks #UnitedAirlines   You suck https://t.co/WnRJFMxg5D'
2017-12-22 21:41:51,b'Dear @united We\xe2\x80\x99ve been stuck on the tarmac for an hour due to \xe2\x80\x9cde-icing\xe2\x80\x9d the least you could do is unlock the TVs\xe2\x80\xa6 https://t.co/tlXVsLzxGu'
2017-12-22 20:42:32,b'Two priority bags DON\xe2\x80\x99T make it on a direct flight but non priority bags got there. #UnitedAirlines #wtf #really?'
2017-12-22 20:22:35,b'This is #unitedAIRLINES https://t.co/HDsD2Cio7E'
2017-12-22 19:49:22,b'RT @MarieAnnUK: Not enough seating? Prepare for a beating! #UnitedAirlines   https://t.co/xlRSggLQHd'
2017-12-22 19:47:41,b'RT @MarieAnnUK: Not enough seating? Prepare for a beating! #UnitedAirlines   https://t.co/xlRSggLQHd'
2017-12-22 19:41:29,b'#MyChristmasWishIn3Words   On time flights #UnitedAirlines'
2017-12-22 19:27:52,b'RT @UnitedFlyerHD: United B787-8 N26902 before landing on Dulles IAD RWY30\n#avgeek #boeing787 #dreamliner #UnitedAirlines https://t.co/6kPI\xe2\x80\xa6'
2017-12-22 19:27:39,b'RT @UnitedFlyerHD: United B777-300ER N2136U after pushback at Houston IAH \n#AvGeek #unitedairlines #Boeing #boeing777 https://t.co/OG4vPzMv\xe2\x80\xa6'
2017-12-22 18:24:03,b'United Airlines loses track of 92-year-old woman flying to Ottawa ottnews #UnitedAirlines #Ottawa https://t.co/xGJBBjS7bW'
2017-12-22 18:17:27,b'#UnitedAirlines loses track of 92-year-old #woman flying to #Ottawa.\n#travel #Christmas https://t.co/HTI7Z0vQYO'
2017-12-22 18:02:06,b'RT @Robo_Knight: When the Megazord is overbooked and #unitedairlines wants you off https://t.co/v0YBVffl62'
2017-12-22 18:01:37,b'2017-12 In flight to New Mexico.\n.\n.\n.\n.\n.\n.\n.\n.\n#toptravelspot #newmexico #sky #usa #airplane #clouds #mountains\xe2\x80\xa6 https://t.co/Epb53nz8i0'
2017-12-22 17:24:04,b'United Airlines loses track of 92-year-old woman flying to Ottawa ottnews #UnitedAirlines https://t.co/5OC4zxfh76'
2017-12-22 16:42:59,b'RT @Av_HeadsetsUSA: United Airlines Boeing 777 landing \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x9b\xac #boeing777 #unitedairlines #aviationdaily https://t.co/PRJyLRNmO7'
2017-12-22 16:38:38,b'United Airlines Boeing 777 landing \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x9b\xac #boeing777 #unitedairlines #aviationdaily https://t.co/PRJyLRNmO7'
2017-12-22 16:35:42,"b'@sonny_sondra It is a connecting flight, they knew the issues. They could have informed me properly the first time\xe2\x80\xa6 https://t.co/gsLC5Srwty'"
2017-12-22 16:26:57,b'#UnitedAirlines Where leave they 2 poor services agents to deal with two indefinitely delayed flights full of peopl\xe2\x80\xa6 https://t.co/qDgSad5uID'
2017-12-22 16:12:01,"b""Original research: 30% of #UnitedAirlines customers still say that they won't buy flights from UA\xe2\x80\xa6 https://t.co/FXZl0Iitib"""
2017-12-22 15:48:03,b'You may also like these photo galleries:AutoplayShow ThumbnailsShow CaptionsLast SlideNext Slide\xc2\xa0Pack your patience\xe2\x80\xa6 https://t.co/FwSCviJ9Dn'
2017-12-22 15:30:34,b'Huge shout out to @united! Sat on BQE for 2 hours this am and @united booked us on the next flight no charge. Thril\xe2\x80\xa6 https://t.co/MrPSh6myeN'
2017-12-22 15:08:38,"b'RT @franheeran: #unitedAIRLINES -Dulles to Tokyo 7 hours late, one mess up after another .. fuel , flat tyre , mis aligned bags , crew chan\xe2\x80\xa6'"
2017-12-22 15:05:42,"b'.@united airlines, where they run planes into each other at the gate, delay your flight by 5 hours, make you miss y\xe2\x80\xa6 https://t.co/Npt2hWSjBI'"
2017-12-22 14:41:27,b'RT @Corporate_Pilot: Business Class flat bed across the Atlantic #NATStrack #Boeing #unitedairlines #RoboCop #zzzzz http://t.co/Km7VgoAI8w'
2017-12-22 14:38:03,"b'United Flight on a B737, design is terrible. Seats are way too close together, can\xe2\x80\x99t even see my laptop screen with\xe2\x80\xa6 https://t.co/ITGg6VaNeU'"
2017-12-22 13:57:04,b'Last flight! Merry Christmas everyone\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe #unitedairlines #bababmusic #merrychristmas #homebound https://t.co/CVuufHWENU'
2017-12-22 13:46:31,"b""RT @skygoflycom: United Star Alliance 'Queen' #unitedairlines #boeing #747 #queenoftheskies #planespotting #dontgo https://t.co/2THoOMtay3\xe2\x80\xa6"""
2017-12-22 13:45:20,"b""United Star Alliance 'Queen' #unitedairlines #boeing #747 #queenoftheskies #planespotting #dontgo\xe2\x80\xa6 https://t.co/UlTTt7TTZQ"""
2017-12-22 13:05:57,"b'Last minute #upgrades - for both of us - thanks, #unitedairlines! #unitedjourney https://t.co/mdVdPwojAc'"
2017-12-22 12:55:46,b'Byeeeeeee NYC! Vegas here I come! @dlarsen22 @UnderStreetLamp \n#unitedairlines #horizon\xe2\x80\xa6 https://t.co/qQpOjKmJP2'
2017-12-22 12:30:01,b'First responders were unable to determine the source of the smoke. #Houston #UnitedAirlines https://t.co/EVSgdeB3k8'
